repo_full_name,kind,number_or_sha,project_dir,title,linked_issues,kicad_pcb,kicad_sch,kicad_pro,kicad_lines,semantic_lines,body_clean_chars,html_url
M17-Project/LinHT-rf-amp,pull_request,2,,Fix grf5604 footprint,[1],1,1,0,184,92,462,https://github.com/M17-Project/LinHT-rf-amp/pull/2
MobiFlight/mobiflight-pcbs,pull_request,56,prototyping-board,Update labels on prototyp board,[53],1,1,0,394,288,234,https://github.com/MobiFlight/mobiflight-pcbs/pull/56
NabuCasa/yellow,commit,465755b9b152e96b8afda7be8ef802e4cdcfa224,,Fix top right corner radii,[23],1,0,0,10,10,116,https://github.com/NabuCasa/yellow/commit/465755b9b152e96b8afda7be8ef802e4cdcfa224
NabuCasa/yellow,commit,58237e2c45acc560fec0d1d58319cfa305c01d94,,Adjust LED resistors for radio and activity LED,[48],1,3,0,12,12,124,https://github.com/NabuCasa/yellow/commit/58237e2c45acc560fec0d1d58319cfa305c01d94
NabuCasa/yellow,commit,6c89dc15fc83a8ea407dea840df1f28481a3a802,,Update PCB to include latest schematic changes,[27],1,0,0,1233,1233,121,https://github.com/NabuCasa/yellow/commit/6c89dc15fc83a8ea407dea840df1f28481a3a802
NabuCasa/yellow,commit,a1c68ebe8e7b56a7453b0e5d7da802f46eccb87e,,Add CM4 outlines to silkscreen,[50],1,0,0,585,569,100,https://github.com/NabuCasa/yellow/commit/a1c68ebe8e7b56a7453b0e5d7da802f46eccb87e
PyroVision-ThermalCam/Mainboard,commit,7a99d4785a38112f2826de2ec622dc5a3dcfd985,mainboard,Feature: Issue #18,[18],1,1,0,16,16,128,https://github.com/PyroVision-ThermalCam/Mainboard/commit/7a99d4785a38112f2826de2ec622dc5a3dcfd985
TU-Darmstadt-APQ/quips-c-uv-led,commit,1a796fac034a318791997b9d6c7a030aaa774be5,kicad,"added dimensions in user.drawings including PCB size and hole radius (#7), removed H indicators (#8)","[7, 8]",1,0,0,163,111,100,https://github.com/TU-Darmstadt-APQ/quips-c-uv-led/commit/1a796fac034a318791997b9d6c7a030aaa774be5
Tactile-electronics/windmill-electronics,commit,d3652065ca56494ee78d8728e5d05647a701b7ab,renewable-charger,"All connections wired on PCB.  Still needs zones, final position for mounting holes and edges, and some labelling.  Part of #4",[4],1,1,0,700,613,126,https://github.com/Tactile-electronics/windmill-electronics/commit/d3652065ca56494ee78d8728e5d05647a701b7ab
TheThingsIndustries/generic-node-se,pull_request,250,Hardware/pcb-stm32wl,fix: Battery Monitor enable/disable sequence,[248],1,1,0,76,76,945,https://github.com/TheThingsIndustries/generic-node-se/pull/250
Tinkerbug-Robotics/TinkerRocket,commit,237827010f4d4bca482a453ee98e673aa2d48437,hardware/base-station,hardware(base-station): lengthen the 40 MHz clock legs to match the other boards,[704],1,0,0,52,40,1424,https://github.com/Tinkerbug-Robotics/TinkerRocket/commit/237827010f4d4bca482a453ee98e673aa2d48437
Tinkerbug-Robotics/TinkerRocket,commit,38a8ca211920746b56bcc049e70f8373c177fab1,hardware/rocket-computer,hardware: JL212R pyro terminal and a buyable 33 R on both computers (#979),[966],1,2,0,16,16,1625,https://github.com/Tinkerbug-Robotics/TinkerRocket/commit/38a8ca211920746b56bcc049e70f8373c177fab1
Tinkerbug-Robotics/TinkerRocket,commit,38a8ca211920746b56bcc049e70f8373c177fab1,hardware/rocket-computer-mini,hardware: JL212R pyro terminal and a buyable 33 R on both computers (#979),[966],1,2,0,12,12,1625,https://github.com/Tinkerbug-Robotics/TinkerRocket/commit/38a8ca211920746b56bcc049e70f8373c177fab1
Tinkerbug-Robotics/TinkerRocket,commit,bf646f7868b6bc6233f72ea7bbc10049dedcf3b4,hardware/lora-daughterboard,hardware: drop the 24 nH series inductor from all three S3 crystal legs,[704],1,1,0,2878,2097,1558,https://github.com/Tinkerbug-Robotics/TinkerRocket/commit/bf646f7868b6bc6233f72ea7bbc10049dedcf3b4
Tinkerbug-Robotics/TinkerRocket,commit,e2334aad2d8750af78d41d04688d751685fda349,hardware/rocket-computer-mini,"hardware(mini): U5's perimeter joints are castellated, not blind (#960) (#991)",[960],1,0,0,28,28,6581,https://github.com/Tinkerbug-Robotics/TinkerRocket/commit/e2334aad2d8750af78d41d04688d751685fda349
Tinkerbug-Robotics/TinkerRocket,commit,e82125d7ef691d137adc838c053989ff39bec068,hardware/rocket-computer,"hardware: P4 CHIP_PU cap 100nF -> 1uF (#665, P4 half) + #657 block tidy","[657, 665]",1,1,0,1629,1120,850,https://github.com/Tinkerbug-Robotics/TinkerRocket/commit/e82125d7ef691d137adc838c053989ff39bec068
Tinkerbug-Robotics/TinkerRocket,commit,edef97e7cfe0f62e66d90c6e89ba15fb602df408,hardware/rocket-computer,"hardware(rocket-computer): eFuse ILIM 100R -> 127R, min limit >= 10 A (#658)",[658],1,1,0,191,128,1395,https://github.com/Tinkerbug-Robotics/TinkerRocket/commit/edef97e7cfe0f62e66d90c6e89ba15fb602df408
Tinkerbug-Robotics/TinkerRocket,pull_request,602,hardware/gnss-sam10m8-18mm-hv,hardware: correct and add board names on silkscreen,[596],1,0,0,13,8,3254,https://github.com/Tinkerbug-Robotics/TinkerRocket/pull/602
Tinkerbug-Robotics/TinkerRocket,pull_request,602,hardware/servo-adapter,hardware: correct and add board names on silkscreen,[596],1,0,0,13,8,3254,https://github.com/Tinkerbug-Robotics/TinkerRocket/pull/602
Tinkerbug-Robotics/TinkerRocket,pull_request,689,hardware/rocket-computer,"hardware: P4 CHIP_PU cap 100nF -> 1uF (#665, P4 half) + #657 block tidy","[657, 665]",1,1,0,1629,1120,1184,https://github.com/Tinkerbug-Robotics/TinkerRocket/pull/689
Tinkerbug-Robotics/TinkerRocket,pull_request,991,hardware/rocket-computer-mini,"hardware(mini): U5's perimeter joints are castellated, not blind (#960)",[960],1,0,0,28,28,4229,https://github.com/Tinkerbug-Robotics/TinkerRocket/pull/991
VanceVagell/kv4p-ht,pull_request,134,pcb/KiCAD/kv4p-ht,Forgot to update LCSC part number for PTT buttons. #88,[88],1,1,0,8,8,142,https://github.com/VanceVagell/kv4p-ht/pull/134
ZSWatch/Dock-HW,commit,b16cb4fd5b5e6f5ff3f08836232294ccad1f4742,dock,"Bug: Issue #73, #74","[73, 74]",1,0,1,32,29,125,https://github.com/ZSWatch/Dock-HW/commit/b16cb4fd5b5e6f5ff3f08836232294ccad1f4742
ZSWatch/Watch-DevKit-HW,commit,d2b21792fba04b32ee89f1631bab4de80096e44a,devkit,Bug: Issue #172,[172],1,1,0,133,103,103,https://github.com/ZSWatch/Watch-DevKit-HW/commit/d2b21792fba04b32ee89f1631bab4de80096e44a
ZSWatch/Watch-DevKit-HW,commit,f5481995c4ff6807e65263dbd563ba9c9970b5ba,devkit,Bug: Issue #172,[172],1,1,0,133,103,103,https://github.com/ZSWatch/Watch-DevKit-HW/commit/f5481995c4ff6807e65263dbd563ba9c9970b5ba
amachronic/echoplayer,commit,a0d0b02d653479aa072a7a9795376822a25c6af3,r1-rev1,R1-Rev1: document errata for SDMMC bus ESD diodes,[27],1,1,0,50,46,224,https://github.com/amachronic/echoplayer/commit/a0d0b02d653479aa072a7a9795376822a25c6af3
amachronic/echoplayer,commit,e14b09d176ed4ae50ebee3c8a1b28d569ed9379b,r1-rev1,Fix incorrect 3.5mm jack pinout,[12],1,1,0,455,283,198,https://github.com/amachronic/echoplayer/commit/e14b09d176ed4ae50ebee3c8a1b28d569ed9379b
amachronic/echoplayer,commit,e14b09d176ed4ae50ebee3c8a1b28d569ed9379b,r1-rev2,Fix incorrect 3.5mm jack pinout,[12],1,0,0,72,12,198,https://github.com/amachronic/echoplayer/commit/e14b09d176ed4ae50ebee3c8a1b28d569ed9379b
andreika-git/hellen-one,commit,a5da2e4e434119020e0df7d370dd62611a0455ff,kicad/modules/hellen1-wbo,"Revert "" #281 CANH and CANL aren`t flipped now""",[281],1,1,0,83,79,109,https://github.com/andreika-git/hellen-one/commit/a5da2e4e434119020e0df7d370dd62611a0455ff
bitaxeorg/bitaxeGamma,commit,f5b4fd93476bd45c44e0a2c26fb1e2a7f3b48769,,shrink the power pads for #4 and switched the BM1387 pin pitch to 0.48mm for #5. still need to fix PCB,"[4, 5]",1,0,0,590,580,102,https://github.com/bitaxeorg/bitaxeGamma/commit/f5b4fd93476bd45c44e0a2c26fb1e2a7f3b48769
bitaxeorg/ultraHex,commit,f5b4fd93476bd45c44e0a2c26fb1e2a7f3b48769,,shrink the power pads for #4 and switched the BM1387 pin pitch to 0.48mm for #5. still need to fix PCB,"[4, 5]",1,0,0,590,580,102,https://github.com/bitaxeorg/ultraHex/commit/f5b4fd93476bd45c44e0a2c26fb1e2a7f3b48769
broncoracing/bcm,pull_request,14,pcb,Correct PCB to fix firmware flashing,[13],1,2,0,31,21,112,https://github.com/broncoracing/bcm/pull/14
butterstick-fpga/butterstick-hardware,commit,c0ff75df19cf4f8fc368981e364972ef69c36872,hardware/ButterStick_r1.0,hardware.r1d0: Update USB0.reset pull,[8],1,16,0,215,165,203,https://github.com/butterstick-fpga/butterstick-hardware/commit/c0ff75df19cf4f8fc368981e364972ef69c36872
chaostreff-flensburg/rakede-pcb,commit,2c009bf3c4ab130cf0525d51dd0c15c69810bef1,ctfl-rakete-tht,close #3: replaced old programming header with a 1x3 horizontal SMD pin socket footprint (don't let the 3D model of it fool you),[3],1,1,1,1523,1078,128,https://github.com/chaostreff-flensburg/rakede-pcb/commit/2c009bf3c4ab130cf0525d51dd0c15c69810bef1
conr2286/PocketFT8Xcvr,commit,8e5c23dcc5e327345d8f72478a269f27723156e4,PocketFT8XcvrHW,Resolve V1.01 PCB is using the Teensy 3.X rather than 4.X audio input network on pin A2 #15,[15],1,1,0,426,22,239,https://github.com/conr2286/PocketFT8Xcvr/commit/8e5c23dcc5e327345d8f72478a269f27723156e4
corygrant/CANBoard,commit,e4960056f3a96a41595177d2a5b736bf1b02c215,CANBoard,Fixed JLCPCB file issues,[9],1,0,1,16,16,151,https://github.com/corygrant/CANBoard/commit/e4960056f3a96a41595177d2a5b736bf1b02c215
dektronics/printalyzer-densitometer,commit,1de35c933c1a4544fae983c460dc6fd71a5b94fa,hardware/main-board,Update footprint origin of FFC connector J3,[43],1,0,0,154,146,422,https://github.com/dektronics/printalyzer-densitometer/commit/1de35c933c1a4544fae983c460dc6fd71a5b94fa
dektronics/printalyzer-densitometer,commit,3042e4d1cdcffc27c15ef8e4fd85de4a4c892dbe,hardware/trans-led-board,Update LED footprints for thermal properties,[22],1,0,0,296,286,390,https://github.com/dektronics/printalyzer-densitometer/commit/3042e4d1cdcffc27c15ef8e4fd85de4a4c892dbe
dektronics/printalyzer-densitometer,commit,517afa6bb47be39404cf6e31f23732326cb7371f,hardware/main-board,Add bulk capacitor to VBUS input,[26],1,1,0,589,550,453,https://github.com/dektronics/printalyzer-densitometer/commit/517afa6bb47be39404cf6e31f23732326cb7371f
dektronics/printalyzer-densitometer,commit,54bbeac6ca4ad0d9748cbc1ed067c8030e6dedee,hardware/main-board,Initial board panelization and hardware artifact automation,[20],1,0,0,118,88,284,https://github.com/dektronics/printalyzer-densitometer/commit/54bbeac6ca4ad0d9748cbc1ed067c8030e6dedee
dektronics/printalyzer-densitometer,commit,a3cb6a0dfa8ce6755fa5a30e3b27acb50cc9d110,hardware/main-board,Switch TVS diode from uClamp3301H to uClamp0501H,[41],1,1,0,141,140,585,https://github.com/dektronics/printalyzer-densitometer/commit/a3cb6a0dfa8ce6755fa5a30e3b27acb50cc9d110
dektronics/printalyzer-densitometer,commit,de997cc2c7bca21935f63671ddbaef49df873a43,hardware/main-board,Update paste layer settings to optimize on a per-component level,[42],1,0,0,571,505,962,https://github.com/dektronics/printalyzer-densitometer/commit/de997cc2c7bca21935f63671ddbaef49df873a43
dektronics/printalyzer-densitometer,commit,de997cc2c7bca21935f63671ddbaef49df873a43,hardware/trans-led-board,Update paste layer settings to optimize on a per-component level,[42],1,0,1,87,78,962,https://github.com/dektronics/printalyzer-densitometer/commit/de997cc2c7bca21935f63671ddbaef49df873a43
dektronics/printalyzer-timer,commit,033dc8c6d44101bd0d8c869e7d943ff4768db48e,hardware/main-board,Change piezo buzzer component,[86],1,1,0,734,604,503,https://github.com/dektronics/printalyzer-timer/commit/033dc8c6d44101bd0d8c869e7d943ff4768db48e
dektronics/printalyzer-timer,commit,04525bddd052fd82e3205c29b5b9dc34866ddb89,hardware/power-board,Change power switch connector from Mega-Fit to Mini-Fit Jr,[52],1,1,1,596,425,267,https://github.com/dektronics/printalyzer-timer/commit/04525bddd052fd82e3205c29b5b9dc34866ddb89
dektronics/printalyzer-timer,commit,09dd3e7cc9f5e6f20a143e08c2b4d2a64481a89c,hardware/power-board,Initial changes for power board input filtering,[56],1,1,1,3034,2223,300,https://github.com/dektronics/printalyzer-timer/commit/09dd3e7cc9f5e6f20a143e08c2b4d2a64481a89c
dektronics/printalyzer-timer,commit,1abd105449ee4493dd877c6362c73e18d36f03d1,hardware/power-board,Change RS-485 line driver on schematic and PCB,[40],1,1,1,1074,880,164,https://github.com/dektronics/printalyzer-timer/commit/1abd105449ee4493dd877c6362c73e18d36f03d1
dektronics/printalyzer-timer,commit,3c67889593a80ab74b7677714b25ec61a20205a8,hardware/power-board,Change power board mounting hole footprints,[53],1,1,1,572,504,345,https://github.com/dektronics/printalyzer-timer/commit/3c67889593a80ab74b7677714b25ec61a20205a8
dektronics/printalyzer-timer,commit,3d27a1e551fe1830338bf6133040ba732f11506c,hardware/main-board,Cleaned up main board power input,[74],1,1,1,1991,1394,189,https://github.com/dektronics/printalyzer-timer/commit/3d27a1e551fe1830338bf6133040ba732f11506c
dektronics/printalyzer-timer,commit,45aa77958b746a83ae36a276edef4b5f7b59df1f,hardware/main-board,Update display footprint to use snap-in standoffs,[76],1,0,0,134,54,509,https://github.com/dektronics/printalyzer-timer/commit/45aa77958b746a83ae36a276edef4b5f7b59df1f
dektronics/printalyzer-timer,commit,49117bbe09fa1c128ae9779d08768502509311a5,hardware/power-board,Update FL1 footprint for increased pin hole size,[87],1,0,0,42,8,155,https://github.com/dektronics/printalyzer-timer/commit/49117bbe09fa1c128ae9779d08768502509311a5
dektronics/printalyzer-timer,commit,5f0e6f83dca7376fdd0677f310e193ceb41923c9,hardware/power-board,Reduce power board width and clean up some placements,[41],1,0,1,2074,2070,352,https://github.com/dektronics/printalyzer-timer/commit/5f0e6f83dca7376fdd0677f310e193ceb41923c9
dektronics/printalyzer-timer,commit,7d63967c78f88c90a6440f960f9390275d734c31,hardware/power-board,Change DMX connector part from NC5FBH to NC5FAH,[84],1,1,1,553,353,740,https://github.com/dektronics/printalyzer-timer/commit/7d63967c78f88c90a6440f960f9390275d734c31
dektronics/printalyzer-timer,commit,99c86414e9f7896d2c7594eee97116e2bff137b9,hardware/densistick,Add initial panelization and automation bits,[59],1,0,0,702,438,368,https://github.com/dektronics/printalyzer-timer/commit/99c86414e9f7896d2c7594eee97116e2bff137b9
dektronics/printalyzer-timer,commit,99c86414e9f7896d2c7594eee97116e2bff137b9,hardware/main-board,Add initial panelization and automation bits,[59],1,0,0,952,600,368,https://github.com/dektronics/printalyzer-timer/commit/99c86414e9f7896d2c7594eee97116e2bff137b9
dektronics/printalyzer-timer,commit,99c86414e9f7896d2c7594eee97116e2bff137b9,hardware/meter-probe,Add initial panelization and automation bits,[59],1,0,0,587,367,368,https://github.com/dektronics/printalyzer-timer/commit/99c86414e9f7896d2c7594eee97116e2bff137b9
dektronics/printalyzer-timer,commit,99c86414e9f7896d2c7594eee97116e2bff137b9,hardware/power-board,Add initial panelization and automation bits,[59],1,0,0,704,440,368,https://github.com/dektronics/printalyzer-timer/commit/99c86414e9f7896d2c7594eee97116e2bff137b9
dektronics/printalyzer-timer,commit,9a031904bc76e49ca54157187f8c8ba4fb58085c,hardware/densistick,Change DensiStick LED driver wiring,[80],1,1,1,542,378,265,https://github.com/dektronics/printalyzer-timer/commit/9a031904bc76e49ca54157187f8c8ba4fb58085c
dektronics/printalyzer-timer,commit,ab7cbcc31a208cfcb94ad52b01a7722fe0a6347f,hardware/main-board,Remove main board test points,[43],1,1,1,2022,1864,290,https://github.com/dektronics/printalyzer-timer/commit/ab7cbcc31a208cfcb94ad52b01a7722fe0a6347f
dektronics/printalyzer-timer,commit,b23fd0011bcd962c834a809664430283369c44da,hardware/meter-probe,Change bulk input capacitor to 4.7uF and nudge some traces,[65],1,1,0,476,328,176,https://github.com/dektronics/printalyzer-timer/commit/b23fd0011bcd962c834a809664430283369c44da
dektronics/printalyzer-timer,commit,b62689491e2cbb57a9668f446f850e55d20a84ae,hardware/power-board,Tweaked two component footprints on the power board,[68],1,1,1,533,349,206,https://github.com/dektronics/printalyzer-timer/commit/b62689491e2cbb57a9668f446f850e55d20a84ae
dektronics/printalyzer-timer,commit,ca9ecd53c3e58e6d09a18c51b0c13ddc83a76c13,hardware/main-board,Swap main board EEPROM,[44],1,2,0,1332,1257,118,https://github.com/dektronics/printalyzer-timer/commit/ca9ecd53c3e58e6d09a18c51b0c13ddc83a76c13
dektronics/printalyzer-timer,commit,dc987e584296209b9ea947cd987205aeb4c0f6bc,hardware/main-board,First attempt at updating USB connector footprint,[61],1,0,1,436,128,489,https://github.com/dektronics/printalyzer-timer/commit/dc987e584296209b9ea947cd987205aeb4c0f6bc
dojoe/Twonkie,commit,eeef74143107621ed2c17c3c3e8d1488dc9b3e8a,hw,Update USB-C receptacle part,[6],1,1,0,12,12,109,https://github.com/dojoe/Twonkie/commit/eeef74143107621ed2c17c3c3e8d1488dc9b3e8a
engmung/Patternflow,pull_request,191,hardware/pcb/kicad,"v3.0 groundwork: verified board promoted, bed-size cases, BOM, guide draft","[114, 154, 169, 190]",1,1,0,6,6,1334,https://github.com/engmung/Patternflow/pull/191
eshelton328/the-forge,commit,a87fb8a7448b5ee97062004c503a15efdfd8214a,boards/tps63070-breakout,fix: correct TPS63070 symbol pin types and update board docs (#24),[23],1,1,1,593,450,2476,https://github.com/eshelton328/the-forge/commit/a87fb8a7448b5ee97062004c503a15efdfd8214a
eshelton328/the-forge,pull_request,24,boards/tps63070-breakout,fix: correct TPS63070 symbol pin types and update board docs,[23],1,1,1,593,450,813,https://github.com/eshelton328/the-forge/pull/24
fossasia/pslab-mini-hardware,pull_request,58,schematic,Fixing footprints,[56],1,1,0,682,474,427,https://github.com/fossasia/pslab-mini-hardware/pull/58
freesurfer-rge/slothpu,commit,d5de1627de88d7a47ce751dd21993af09c751c86,pcbs/Tester,Fix Tester board (#49),[47],1,2,0,1637,1626,351,https://github.com/freesurfer-rge/slothpu/commit/d5de1627de88d7a47ce751dd21993af09c751c86
freesurfer-rge/slothpu,pull_request,49,pcbs/Tester,Fix Tester board,[47],1,2,0,1637,1626,328,https://github.com/freesurfer-rge/slothpu/pull/49
greatscottgadgets/cynthion-hardware,commit,4d3d526ff647c02fd378f01340b5449008a2568b,,"Connect U4 +1V1 regulator input to +3V3, not +2V5",[9],1,2,0,976,958,442,https://github.com/greatscottgadgets/cynthion-hardware/commit/4d3d526ff647c02fd378f01340b5449008a2568b
huulanka/wisp,commit,16c4fca0d95ff3bd8dce76eaf8e332fe71f8cff9,hardware/kicad,"Investigate GND/+3V3 pour-stitch gaps (#8), close 1 of 26 with verified routing",[8],1,0,0,8,6,1445,https://github.com/huulanka/wisp/commit/16c4fca0d95ff3bd8dce76eaf8e332fe71f8cff9
jostsalathe/ctfl-rakete-pcb,commit,2c009bf3c4ab130cf0525d51dd0c15c69810bef1,ctfl-rakete-tht,close #3: replaced old programming header with a 1x3 horizontal SMD pin socket footprint (don't let the 3D model of it fool you),[3],1,1,1,1523,1078,128,https://github.com/jostsalathe/ctfl-rakete-pcb/commit/2c009bf3c4ab130cf0525d51dd0c15c69810bef1
jrsteensen/OpenHornet,commit,cbd3a8d2b94fde9d1af5b288b04dab8aa95fb0d0,ECAD/PCBs/Backlight PCBs/Backlighting_Type A/SELECT JETT PANEL,KiCad 7 Transition: HUD Panel + SEL JETT Update,"[691, 692]",1,0,0,568,466,454,https://github.com/jrsteensen/OpenHornet/commit/cbd3a8d2b94fde9d1af5b288b04dab8aa95fb0d0
kmatzen/millennium,commit,5e4eb6824255c59e9a91cedba0290d32a415a0fa,pcb,"pcb: Rename power nets 5v→5V_MAIN, 12v→12V_COIN (fixes #69)",[69],1,1,0,76,76,148,https://github.com/kmatzen/millennium/commit/5e4eb6824255c59e9a91cedba0290d32a415a0fa
kmatzen/millennium,pull_request,77,pcb,"pcb: Rename power nets 5v→5V_MAIN, 12v→12V_COIN",[69],1,1,0,76,76,382,https://github.com/kmatzen/millennium/pull/77
larus-breeze/hw_sensor,commit,69ef5596494719a7c5f3796ee7b896bfbfadf5bd,pcb,added keep out areas below potential cut lines (closed solder jumpers) to reduce short circuit risks. Added solder jumper to optionally switch to the old can pinout configuration  #4,[4],1,1,1,1297,1205,182,https://github.com/larus-breeze/hw_sensor/commit/69ef5596494719a7c5f3796ee7b896bfbfadf5bd
lukasznowarkiewicz/M2SmartHome,commit,9a6ca06cb923f604717bb79db3bcf286fa34a57a,hardware-electronics,[#20] PCB correct internal planes under edge connector according to figure 97 in PCIe M.2 electromechacnial specification,[20],1,0,0,651,651,121,https://github.com/lukasznowarkiewicz/M2SmartHome/commit/9a6ca06cb923f604717bb79db3bcf286fa34a57a
maxisimonazzi/Azukar-FPGA,commit,0a4ff0e3153adc690e448a29f0f0f9d54ac0d695,project,"Eliminar mensaje de error - Issue #8. Mejora en algunas trazas del PCB, eliminacion de algunas vias ordenando mejor los componentes.",[8],1,3,0,846,535,132,https://github.com/maxisimonazzi/Azukar-FPGA/commit/0a4ff0e3153adc690e448a29f0f0f9d54ac0d695
nielsverhoeven/PoE-FanController,commit,09872f558c8165f3d16d78b971430c2e4f659615,hardware/kicad,hw+fw: add orange prog/OTA LED (issue #89),[89],1,1,0,707,502,618,https://github.com/nielsverhoeven/PoE-FanController/commit/09872f558c8165f3d16d78b971430c2e4f659615
nielsverhoeven/PoE-FanController,commit,1a0bf7b55cb96e623b31f1919cb5b24cdab21536,hardware/kicad,hw: replace all 0402 resistors with 0805 for hand-solderability (issue #90),[90],1,1,0,452,432,509,https://github.com/nielsverhoeven/PoE-FanController/commit/1a0bf7b55cb96e623b31f1919cb5b24cdab21536
nielsverhoeven/PoE-FanController,commit,3f1f1db49d19322b0f904754f7fe9386dd2b0785,hardware/kicad,"hw(layout,drc): fix U_BOOST placement/routing; DRC 0 errors (T006+T007)",[184],1,0,0,1374,1180,1172,https://github.com/nielsverhoeven/PoE-FanController/commit/3f1f1db49d19322b0f904754f7fe9386dd2b0785
nielsverhoeven/PoE-FanController,commit,3f8e5697cb77015ed7a8bafdca938ce2c48df874,hardware/kicad,"hw(pcb): T001+T002 — delete legacy traces; reposition J8 to x=25.50mm + move J6/components to correct zones (#166, #167)","[148, 166, 167]",1,0,0,874,664,606,https://github.com/nielsverhoeven/PoE-FanController/commit/3f8e5697cb77015ed7a8bafdca938ce2c48df874
nielsverhoeven/PoE-FanController,commit,4e748ea6db9a67b50f94d0e0721e90a7753b9895,hardware/kicad,hw(pcb): T004 — route all PCB traces on corrected right-column layout,"[148, 153]",1,0,0,1000,750,896,https://github.com/nielsverhoeven/PoE-FanController/commit/4e748ea6db9a67b50f94d0e0721e90a7753b9895
nielsverhoeven/PoE-FanController,commit,6f8b905e63a310fa9a67fdc973318f9555ae7e0e,hardware/kicad,"hw(pcb): portrait layout 42x78mm, J8 repositioned per constitution v3.1.0",[75],1,0,1,1047,895,765,https://github.com/nielsverhoeven/PoE-FanController/commit/6f8b905e63a310fa9a67fdc973318f9555ae7e0e
nielsverhoeven/PoE-FanController,commit,8a3d6895dbb967328b5423892eb38c76f7807cfe,hardware/kicad,hw(sch): move 5V power source from J8 pin 39 (VSYS) to pin 40 (VBUS) (#138),[137],1,1,1,647,647,1400,https://github.com/nielsverhoeven/PoE-FanController/commit/8a3d6895dbb967328b5423892eb38c76f7807cfe
nielsverhoeven/PoE-FanController,commit,92e5391362628953e8981161f7671e1edb59306a,hardware/kicad,hw(pcb): remap J8 pads to consecutive layout (issue #133),[133],1,0,0,315,239,544,https://github.com/nielsverhoeven/PoE-FanController/commit/92e5391362628953e8981161f7671e1edb59306a
nielsverhoeven/PoE-FanController,commit,92e69c7dab3576d3d744fe9c62401113ac47f6da,hardware/kicad,hw(pcb): fix DRC violations from ESP32-P4 layout -- J1 footprint + placement (#40),[40],1,1,0,347,246,2400,https://github.com/nielsverhoeven/PoE-FanController/commit/92e69c7dab3576d3d744fe9c62401113ac47f6da
nielsverhoeven/PoE-FanController,commit,b58334002b1ec606df897aec4962960e85ac7f19,hardware/kicad,hw(pcb): T003 — sync PCB J8 pad nets to corrected assignments,"[148, 152]",1,0,0,789,599,589,https://github.com/nielsverhoeven/PoE-FanController/commit/b58334002b1ec606df897aec4962960e85ac7f19
nielsverhoeven/PoE-FanController,commit,b87e3a20597e4f384c7486020fdddbfae7d0756d,hardware/kicad,pcb: route all nets using MST-based L-shape routing,[83],1,0,0,1240,930,729,https://github.com/nielsverhoeven/PoE-FanController/commit/b87e3a20597e4f384c7486020fdddbfae7d0756d
